platform,design,arm,arm_witnessed,seed,clk_period,gp_hpwl_final,gp_iterations,gp_segments,diverge_revert,ip_iterations,ip_residual,ip_converged,ip_hit_cap,ip_hpwl_first,ip_hpwl_last,src_odb_3_1,src_core_3_1,src_odb_3_3,src_core_3_3,min_period_wns,setup_ws,setup_tns,hold_ws,wirelength,grt_usage_pct,grt_overflow,grt_max_layer_usage_pct,grt_congested,drc,place_area,place_instances,gp_wall_s,serial,cores,loadavg_at_start,status,place_gp_sha1,skip_io_sha1,grt_sha1
asap7,aes,anchored,anchored,1,380.0,39438.15,381,4,False,5,3.19e-06,True,False,43214009,20396827,,,,,389.33109,-9.33109,-152.297,37.1573,688611,23.48,0,36.01,False,0,1399.05,12532,9.56,False,4,8.9833984375,0,d03f75e63a7a36095b04,58b625cc36bc7d6872cc,4f339cccf67ff48bd668
asap7,aes,anchored,anchored,2,380.0,40375.3,382,4,False,5,4.1e-06,True,False,43091393,20362744,,,,,393.6527,-13.6527,-160.502,37.1984,699863,23.84,0,36.69,False,0,1405.19,12622,9.65,False,4,8.9833984375,0,617dfa859c3f93f8f170,ef81d7026354dbba9b8d,556b6ea60c06027cff69
asap7,aes,anchored,anchored,3,380.0,40650.41,382,4,False,5,3.37e-06,True,False,43081869,20423354,,,,,395.795,-15.795,-278.507,36.8231,704189,24.09,0,36.43,False,0,1407.29,12644,12.1,False,4,8.9833984375,0,f9448357bc80f43474e9,1a6c6124751598a89f32,d314f187e191444c835f
asap7,aes,anchored,anchored,4,380.0,39108.56,378,4,False,5,7.2e-07,True,False,43110391,20552725,,,,,393.1199,-13.1199,-219.618,35.806,684678,23.26,0,36.18,False,0,1407.32,12639,9.81,False,4,8.9833984375,0,e6fcf51c5d23a31b34dd,ddc34ba129d400a8a3d0,5aae16b1b8510ddbe155
asap7,aes,anchored,anchored,5,380.0,40019.4,381,4,False,5,2.9e-06,True,False,43037377,20495467,,,,,394.6314,-14.6314,-194.696,37.7019,695006,23.64,0,35.17,False,0,1406.3,12628,9.86,False,4,8.9833984375,0,af59f734c437b53ab1b5,5968f8b95a043699abd0,f15c0128ffc9d4f3c067
asap7,aes,anchored,anchored,6,380.0,40164.99,380,4,False,5,1.43e-06,True,False,43000052,20677159,,,,,390.8258,-10.8258,-74.5296,37.2925,693963,23.69,0,37.61,False,0,1403.69,12605,9.85,False,4,8.9833984375,0,c0ebbed1547c36db3310,292824eb355a81946efc,4d4ab2ff5168285434a6
asap7,aes,anchored,anchored,7,380.0,40472.2,383,4,False,5,1.03e-06,True,False,42968113,20602682,,,,,387.75294,-7.75294,-72.0637,36.9738,696842,23.85,0,38.11,False,0,1406.71,12618,9.48,False,4,8.59423828125,0,9b090d32a27a23446437,686015f949922040ab0d,1f29b83d8fd3eccfb8cc
asap7,aes,anchored,anchored,8,380.0,40055.55,380,4,False,5,1.81e-06,True,False,43080481,20687343,,,,,395.1814,-15.1814,-248.789,37.1316,694824,23.71,0,36.01,False,0,1419.6,12762,9.61,False,4,8.59423828125,0,5e14896be3296efe2136,9bb124e303c6ba6dbe8e,bef23143d009e0b1899e
asap7,aes,anchored,anchored,9,380.0,39635.34,379,4,False,5,1.71e-06,True,False,43162535,20743912,,,,,,,,,,,,,,,1391.4,12461,9.55,False,4,8.59423828125,0,1f57bddb4265ccc7f6d1,2b0b37256531851d367a,
asap7,aes,anchored,anchored,10,380.0,38884.44,380,4,False,5,1.05e-06,True,False,43281043,20497000,,,,,,,,,,,,,,,1400.55,12567,9.97,False,4,8.59423828125,0,aefecdb587ae344ac1c9,ef5ae0a1691fe5f6832b,
