platform,design,arm,arm_witnessed,seed,clk_period,gp_hpwl_final,gp_iterations,gp_segments,diverge_revert,ip_iterations,ip_residual,ip_converged,ip_hit_cap,ip_hpwl_first,ip_hpwl_last,src_odb_3_1,src_core_3_1,src_odb_3_3,src_core_3_3,min_period_wns,setup_ws,setup_tns,hold_ws,wirelength,grt_usage_pct,grt_overflow,grt_max_layer_usage_pct,grt_congested,drc,place_area,place_instances,gp_wall_s,serial,cores,loadavg_at_start,status,place_gp_sha1,skip_io_sha1,grt_sha1
asap7,aes,odb,odb,8,380.0,39509.66,369,4,False,5,3.96e-06,True,False,42946307,20692776,,,,,391.0604,-11.0604,-197.943,36.1864,689637,23.43,0,38.44,False,0,1392.83,12488,9.78,False,4,21.0146484375,0,06d4a7345341ebe4b5af,cf7846ff94f689cc148f,118b2a8eedd58b27f1d6
asap7,aes,shipped,shipped,1,380.0,39372.46,386,4,False,5,5.45e-06,True,False,42785389,20531625,1059,10027,0,10414,384.77962,-4.77962,-34.4994,36.4898,686337,23.38,0,37.5,False,0,1394.26,12493,10.02,False,4,11.029296875,0,79cff97d14b966d4c78c,eb1c7da44d1c908cec05,de5b7477dac8c0b96048
asap7,aes,shipped,shipped,2,380.0,39251.25,387,4,False,5,1.92e-06,True,False,42802712,20545180,1059,10027,0,10414,395.4764,-15.4764,-412.318,37.0242,685727,23.23,0,35.46,False,0,1404.27,12591,9.75,False,4,11.029296875,0,6ba55e2091790d50a74a,0705e1834b2f1579947a,bd8581c37baa4797432d
asap7,aes,shipped,shipped,3,380.0,39243.02,388,4,False,5,5.79e-06,True,False,42880984,20533968,1059,10027,0,10414,398.6252,-18.6252,-293.388,37.1379,681731,23.19,0,35.75,False,0,1393.53,12488,9.96,False,4,11.029296875,0,5ed82cf4bb61fe195091,ee5b6cd2843ef43ead07,cdd3ac6a097166fc2ca0
asap7,aes,shipped,shipped,4,380.0,39235.42,387,4,False,5,5.66e-06,True,False,42839486,20479677,1059,10027,0,10414,392.2469,-12.2469,-179.273,36.6965,685715,23.3,0,35.96,False,0,1400.15,12553,10.14,False,4,11.029296875,0,7e29dfbe0b3cf6718f64,2d5276b25dc6f53a6e99,9c32f232c4e463d32c77
asap7,aes,shipped,shipped,5,380.0,39030.67,386,4,False,5,2.2e-06,True,False,42798099,20603649,1059,10027,0,10414,395.6634,-15.6634,-147.827,37.1115,681805,23.25,0,36.14,False,0,1394.46,12504,10.17,False,4,11.029296875,0,2f0f0ae793f3eed87b57,aca4565f80af8677e3ff,36cae5008acdf44c0710
asap7,aes,shipped,shipped,6,380.0,38512.79,386,4,False,5,2.39e-06,True,False,42888242,20371140,1059,10027,0,10414,387.5728,-7.5728,-75.6201,36.3722,677741,23.05,0,37.33,False,0,1400.23,12552,10.17,False,4,11.029296875,0,e597c6ead5f8d711268a,0ff6cf62ad301a87121a,7632458ac39c7956aa44
asap7,aes,shipped,shipped,7,380.0,39128.81,386,4,False,5,4.75e-06,True,False,42672115,20486255,1059,10027,0,10414,388.80321,-8.80321,-130.009,36.2695,687471,23.39,0,36.69,False,0,1397.17,12531,10.15,False,4,19.19775390625,0,3aeecb1846e149c03d41,f597cc7165b300d2e23b,0425eb7fe83c3d3b1373
asap7,aes,shipped,shipped,8,380.0,39063.19,387,4,False,5,1.81e-06,True,False,42946307,20498882,1059,10027,0,10414,392.1586,-12.1586,-114.494,36.3744,682797,23.29,0,37.63,False,0,1380.49,12343,9.55,False,4,19.58251953125,0,a76e504b071be8e01a62,cf7846ff94f689cc148f,d746579da3c34f41a90c
asap7,aes,spread,spread,1,380.0,39857.89,376,4,False,5,4.4e-06,True,False,42810864,20762110,,,,,392.1408,-12.1408,-148.992,36.4531,693097,23.73,0,35.83,False,0,1395.47,12501,11.98,False,4,19.50927734375,0,503a82b239368b86f6a1,1fe84e7a46613681b480,3f070aefa3890d1345f1
asap7,aes,spread,spread,2,380.0,40873.3,375,4,False,5,2.14e-06,True,False,43027398,20775913,,,,,400.153,-20.153,-271.653,37.4458,708378,24.25,0,36.21,False,0,1412.19,12676,9.92,False,4,19.537109375,0,ec848b0b27f7131d67e7,04eaa43269862906ca97,c1c149dd462c69d81de7
asap7,aes,spread,spread,3,380.0,39182.14,374,4,False,5,3.04e-06,True,False,42981714,20699811,,,,,392.7044,-12.7044,-261.184,36.534,686576,23.27,0,35.77,False,0,1393.37,12473,9.86,False,4,19.41357421875,0,7290297a9f4447acb522,4b64835f13cd59da34d5,b8b36396289cef790795
asap7,aes,spread,spread,4,380.0,40436.67,377,4,False,5,2.62e-06,True,False,42915978,20815622,,,,,399.7958,-19.7958,-282.135,35.7563,704269,24.03,0,35.59,False,0,1408.11,12642,9.97,False,4,18.81982421875,0,b21a6ead3eb1547991f6,47ee09185e9d9f0b33db,c18ac43240491c79ef36
asap7,aes,spread,spread,5,380.0,39644.39,375,4,False,5,2.52e-06,True,False,42918764,20795596,,,,,388.88831,-8.88831,-77.4126,37.1962,687511,23.52,0,35.57,False,0,1387.55,12423,9.5,False,4,18.2734375,0,655d8d5d96c95a7e5940,ed27d291c37b8d449568,649983fcd3dbccf20366
asap7,aes,spread,spread,6,380.0,39420.24,374,4,False,5,4.23e-06,True,False,42957792,20701234,,,,,389.95176,-9.95176,-151.245,36.983,689107,23.5,0,35.63,False,0,1394.96,12489,10.61,False,4,17.77099609375,0,d181f2fc468aad015d59,92f9d5fea36ecb8bb2bb,3fd2d139bf61ea49e375
asap7,aes,spread,spread,7,380.0,40064.89,377,4,False,5,3.42e-06,True,False,43010407,20766239,,,,,396.7118,-16.7118,-163.429,36.8743,699156,23.83,0,36.05,False,0,1391.98,12477,12.06,False,4,19.02880859375,0,55ea91efce9632dbb3f9,e0e1747fa42ebc3b6e76,a24baf682a133890d98a
asap7,aes,spread,spread,8,380.0,39412.09,374,4,False,5,5.84e-06,True,False,42953641,20709589,,,,,407.7687,-27.7687,-389.86,37.1493,690338,23.43,0,34.51,False,0,1391.85,12465,9.91,False,4,20.3349609375,0,6bc311061f8e1f5fc55f,93d4e7658808da5e32af,409a40384c70b5d6db7b
asap7,ethmac,anchored,anchored,1,1000.0,144411.8,498,4,False,20,6.086e-05,False,True,160254382,64163930,,,,,1092.0317,-92.0317,-1778.95,24.3745,286558,20.41,0,43.69,False,0,7574.19,59735,44.86,False,4,16.96240234375,0,42e42e5af8c33beb2738,720ccbc91b3b554b2f8f,21499dfe33eb1562fe5a
asap7,ethmac,anchored,anchored,2,1000.0,144604.9,499,4,False,20,5.67e-05,False,True,160091497,64041305,,,,,1093.4195,-93.4195,-1708.68,20.7187,287481,20.54,0,43.63,False,0,7573.81,59730,43.95,False,4,15.1123046875,0,c6805dd6acb30038fbaa,66c4de12ce5405d5aa45,fa15e460c43115b51475
asap7,ethmac,anchored,anchored,3,1000.0,145799.6,498,4,False,20,4.337e-05,False,True,160333508,64357134,,,,,1090.2476,-90.2476,-1846.83,20.7177,289504,20.64,0,45.57,False,0,7572.12,59712,46.49,False,4,19.28076171875,0,e360b008ef68900542de,d89457bb286dc538db39,42c891cf1b7c37882349
asap7,ethmac,anchored,anchored,4,1000.0,146125.7,498,4,False,20,4.774e-05,False,True,160503947,64325896,,,,,1088.9852,-88.9852,-1587.52,21.0983,288911,20.65,0,44.49,False,0,7574.34,59736,46.24,False,4,18.8623046875,0,24514fdb6b8702ad9483,e79dc20adbc5d06a8858,9d3c9e1106df3de21c8d
asap7,ethmac,anchored,anchored,5,1000.0,147114.5,499,4,False,20,4.803e-05,False,True,160363587,64394907,,,,,1090.7035,-90.7035,-1898.09,25.0179,290063,20.77,0,44.64,False,0,7577.14,59768,46.54,False,4,17.97802734375,0,06d18965c58d79a9aaa4,99138dd0325cac8c973e,7551f6da9f5f5eef5cb8
asap7,ethmac,anchored,anchored,6,1000.0,145028.9,499,4,False,20,5.28e-05,False,True,160302164,64242026,,,,,1094.6105,-94.6105,-2005.01,20.7091,287585,20.55,0,43.69,False,0,7574.05,59730,45.39,False,4,17.4990234375,0,50d8c7434d9d9c1774ea,44bab075765a3d20f312,9e2e7b01ef4d925709c1
asap7,ethmac,anchored,anchored,7,1000.0,145172.3,498,4,False,20,4.272e-05,False,True,160319319,64221285,,,,,1093.8921,-93.8921,-1978.05,25.5527,288184,20.55,0,43.34,False,0,7575.16,59746,44.62,False,4,15.8837890625,0,82383b8059887eb1a019,ca712fe4a641158f0ae9,d7a7dbed1cefc7e3a44f
asap7,ethmac,anchored,anchored,8,1000.0,142919.4,499,4,False,20,4.167e-05,False,True,160229625,64404963,,,,,1094.3138,-94.3138,-1789.83,25.3655,284765,20.24,0,44.21,False,0,7575.88,59751,43.85,False,4,13.1123046875,0,b72f5b99d9569d1546b8,8356d577df18e93dd6e4,5d96e9f433e4c3f4ca4c
asap7,ethmac,odb,odb,1,1000.0,143755.9,499,4,False,20,5.826e-05,False,True,160254382,64348215,,,,,1093.0643,-93.0643,-1736.34,26.1496,285957,20.36,0,43.75,False,0,7575.88,59755,46.17,False,4,17.25634765625,0,fcbcba980f683e22e0c8,720ccbc91b3b554b2f8f,0833b54e8f0bf79d576c
asap7,ethmac,odb,odb,2,1000.0,143295.4,500,4,False,20,4.794e-05,False,True,160091497,64164229,,,,,1093.1979000000001,-93.1979,-1743.54,28.2764,286659,20.41,0,43.71,False,0,7577.43,59772,46.14,False,4,17.25634765625,0,84d1fbc02df5fc358f7e,66c4de12ce5405d5aa45,18384c3466dd48168085
asap7,ethmac,odb,odb,3,1000.0,144049.8,499,4,False,20,4.45e-05,False,True,160333508,64531536,,,,,1095.2105,-95.2105,-1721.09,23.1561,287010,20.38,0,45.46,False,0,7577.26,59772,46.15,False,4,16.68798828125,0,7bac560987c84a49ffe6,d89457bb286dc538db39,d0eaa655f7686a4942a6
asap7,ethmac,odb,odb,4,1000.0,145239.6,499,4,False,20,5.591e-05,False,True,160503947,64515610,,,,,1103.944,-103.944,-2009.4,27.6525,288201,20.6,0,43.71,False,0,7574.63,59740,44.62,False,4,16.3125,0,cfa9c3294ac0d2d06758,e79dc20adbc5d06a8858,1d3e3deb47bb37715c9c
asap7,ethmac,odb,odb,5,1000.0,144447.1,499,4,False,20,4.431e-05,False,True,160363587,64563148,,,,,1097.1273,-97.1273,-1744,20.9333,288254,20.55,0,44.44,False,0,7578.68,59785,46.87,False,4,19.2421875,0,155147db2735f301bad6,99138dd0325cac8c973e,f390fcf7adead2524dee
asap7,ethmac,odb,odb,6,1000.0,145174.6,499,4,False,20,4.958e-05,False,True,160302164,64417535,,,,,1093.4135,-93.4135,-1616.81,26.528,287655,20.53,0,44.03,False,0,7576,59755,48.67,False,4,19.2421875,0,0b01f59baaab2aa97430,44bab075765a3d20f312,017a51ee195a2ea969fb
asap7,ethmac,odb,odb,7,1000.0,145906.0,500,4,False,20,4.736e-05,False,True,160319319,64458287,,,,,1094.9174,-94.9174,-1615.67,26.1504,288799,20.64,0,44.04,False,0,7577.61,59770,46.35,False,4,17.34765625,0,3999bf492c425eb1c067,ca712fe4a641158f0ae9,c2dc7815fea15586aa27
asap7,ethmac,odb,odb,8,1000.0,143445.3,499,4,False,20,4.481e-05,False,True,160229625,64611825,,,,,1102.575,-102.575,-1837.46,25.4286,285715,20.31,0,44.23,False,0,7573.93,59730,46.17,False,4,17.34765625,0,f809c3abdadeec032422,8356d577df18e93dd6e4,5d1bf052c17e0fc97410
asap7,ethmac,shipped,shipped,1,1000.0,144366.0,499,4,False,20,5.478e-05,False,True,160254382,64165157,0,57242,0,52745,1098.8246,-98.8246,-1829.71,26.2593,287372,20.52,0,43.49,False,0,7575.97,59756,53.47,False,4,6.6591796875,0,426a23122b71d1c414f5,720ccbc91b3b554b2f8f,475c744da884c861d1f7
asap7,ethmac,shipped,shipped,2,1000.0,144697.9,499,4,False,20,6.235e-05,False,True,160091497,64044474,0,57242,0,52745,1093.5834,-93.5834,-1770.89,28.1976,287258,20.51,0,43.85,False,0,7573.41,59726,52.25,False,4,6.6591796875,0,21c1876a7d4d27b1a072,66c4de12ce5405d5aa45,6393e9e568a50c77a073
asap7,ethmac,shipped,shipped,3,1000.0,144756.1,498,4,False,20,4.809e-05,False,True,160333508,64348010,0,57242,0,52745,1089.7172,-89.7172,-1840.79,21.5662,288035,20.55,0,43.88,False,0,7578.1,59779,52.79,False,4,6.6591796875,0,16aa07e4ebbafcc1ef51,d89457bb286dc538db39,6408f1ce6f3a5409bd32
asap7,ethmac,shipped,shipped,4,1000.0,144877.4,498,4,False,20,4.134e-05,False,True,160503947,64244260,0,57242,0,52745,1094.3952,-94.3952,-1865.51,28.4509,287115,20.48,0,43.82,False,0,7574.16,59736,53.29,False,4,6.6591796875,0,75cdd3750c9da40a376f,e79dc20adbc5d06a8858,ebfb78931eee41382569
asap7,ethmac,shipped,shipped,5,1000.0,145658.6,498,4,False,20,4.697e-05,False,True,160363587,64387158,0,57242,0,52745,1095.3433,-95.3433,-1885.28,25.9025,289756,20.66,0,45.99,False,0,7574.22,59734,49.18,False,4,6.6591796875,0,21e96fac41f526d69538,99138dd0325cac8c973e,4ef75097c227149e65f0
asap7,ethmac,shipped,shipped,6,1000.0,145365.1,498,4,False,20,4.993e-05,False,True,160302164,64234745,0,57242,0,52745,1089.4094,-89.4094,-1594.76,26.8164,288195,20.59,0,44.17,False,0,7574.31,59733,52.33,False,4,6.6591796875,0,3cbadf7ce1f503a47a03,44bab075765a3d20f312,ba6ff701fa7720a0f17a
asap7,ethmac,shipped,shipped,7,1000.0,145261.0,498,4,False,20,5.089e-05,False,True,160319319,64279861,0,57242,0,52745,1089.616,-89.616,-1680.21,22.0828,288323,20.59,0,43.85,False,0,7574.69,59740,48.56,False,4,18.7568359375,0,eb047da9f26f1d1d3194,ca712fe4a641158f0ae9,4442615f8b2a24af6913
asap7,ethmac,shipped,shipped,8,1000.0,142967.5,498,4,False,20,4.395e-05,False,True,160229625,64411403,0,57242,0,52745,1094.9270999999999,-94.9271,-1817.78,20.2651,284917,20.24,0,44.16,False,0,7575.51,59750,48.43,False,4,17.97509765625,0,f9043d495845f8faea69,8356d577df18e93dd6e4,cdfcd30eb40cc798c785
