design,arm,period_scale,clock_period,time_unit,sequence,setup_margin,wns,tns,hold_wns,inst_count,buffer_count,design_area,elapsed_s
asap7/riscv32i,base,1.0,949.9999713770625,ps,after,0,-22.348456508097037,-5848.105134651405,35.39742124680648,10441,1101,2.6439694877922193e-09,755
asap7/riscv32i,pr,1.0,949.9999713770625,ps,after,0,-22.348456508097037,-5848.105134651405,35.39742124680648,10441,1101,2.6439694877922193e-09,748
asap7/riscv32i,base,1.0,949.9999713770625,ps,before,0,-20.94724402311866,-5062.801309542757,35.39742124680648,10457,1117,2.6465938329778282e-09,379
asap7/riscv32i,pr,1.0,949.9999713770625,ps,before,0,-20.94724402311866,-5062.801309542757,35.39742124680648,10457,1117,2.6465938329778282e-09,375
asap7/riscv32i,base,1.0,949.9999713770625,ps,only,0,-23.25706303508088,-7080.095205094189,35.39703266874631,10506,1166,2.646958430219115e-09,482
asap7/riscv32i,pr,1.0,949.9999713770625,ps,only,0,-23.247071027819327,-7115.188466864396,35.39703266874631,10499,1159,2.6464481717169974e-09,445
asap7/riscv32i,base,1.0,949.9999713770625,ps,stock,0,-18.918533482114785,-3907.5698388832197,35.39703266874631,10460,1120,2.6481248305287863e-09,294
asap7/riscv32i,pr,1.0,949.9999713770625,ps,stock,0,-18.918533482114785,-3907.5698388832197,35.39703266874631,10460,1120,2.6481248305287863e-09,290
asap7_aes,base,0.8,304.00000416333637,ps,after,0,-79.49185785849254,-13629.920357977539,36.48866640096485,13223,2758,1.5128791552854182e-09,155
asap7_aes,pr,0.8,304.00000416333637,ps,after,0,-79.34081201538874,-13576.032796682168,36.48994315744827,13203,2739,1.51040047136064e-09,145
asap7_aes,base,0.8,304.00000416333637,ps,before,0,-82.87265351543883,-13531.089192108917,36.48866640096485,13235,2770,1.5138705844464084e-09,146
asap7_aes,pr,0.8,304.00000416333637,ps,before,0,-79.8887903469577,-13511.976480619018,36.48994315744827,13219,2754,1.5132727293476478e-09,148
asap7_aes,base,0.8,304.00000416333637,ps,only,0,-81.92593858298245,-13381.297901027954,36.49566774494187,13305,2840,1.51181478447171e-09,119
asap7_aes,pr,0.8,304.00000416333637,ps,only,0,-82.22803026919006,-13383.84164403214,36.49566774494187,13305,2841,1.5115668716703112e-09,121
asap7_aes,base,0.8,304.00000416333637,ps,stock,0,-79.77338266308678,-13559.42386016741,36.49018601873588,13194,2730,1.512091785116354e-09,138
asap7_aes,pr,0.8,304.00000416333637,ps,stock,0,-79.77338266308678,-13559.42386016741,36.49018601873588,13194,2730,1.512091785116354e-09,131
asap7_aes,base,0.9,342.00000468375345,ps,after,0,-44.215797866550325,-4992.129840583249,36.49474487204896,13220,2756,1.509467439930745e-09,121
asap7_aes,pr,0.9,342.00000468375345,ps,after,0,-42.63753256401238,-4874.372924782823,36.49482813877614,13229,2764,1.5109399287283054e-09,131
asap7_aes,base,0.9,342.00000468375345,ps,before,0,-42.9399573171287,-5007.419832139482,36.49474487204896,13237,2773,1.5113482687567625e-09,123
asap7_aes,pr,0.9,342.00000468375345,ps,before,0,-42.63747705286093,-4876.356227201939,36.49482813877614,13230,2766,1.5102109562903365e-09,132
asap7_aes,base,0.9,342.00000468375345,ps,only,0,-42.41262913390027,-4898.756087036281,36.49474487204896,13266,2803,1.5064930414254718e-09,101
asap7_aes,pr,0.9,342.00000468375345,ps,only,0,-42.568920780816384,-4894.095370760281,36.49474487204896,13263,2799,1.5062160407808278e-09,103
asap7_aes,base,0.9,342.00000468375345,ps,stock,0,-42.438525086053126,-4936.694184296155,36.49474487204896,13192,2728,1.507951097323712e-09,113
asap7_aes,pr,0.9,342.00000468375345,ps,stock,0,-42.438525086053126,-4936.694184296155,36.49474487204896,13192,2728,1.507951097323712e-09,119
asap7_aes,base,1.0,380.00000520417046,ps,after,0,-4.4338977111624684,-34.44872179068566,36.48982519625144,12672,2211,1.4298460193629126e-09,84
asap7_aes,pr,1.0,380.00000520417046,ps,after,0,-4.435174467645889,-43.56340305909813,36.48982519625144,12643,2183,1.4252533597769457e-09,85
asap7_aes,base,1.0,380.00000520417046,ps,before,0,-5.574846162553131,-61.84158765362603,36.48982519625144,12682,2220,1.4262738767811811e-09,91
asap7_aes,pr,1.0,380.00000520417046,ps,before,0,-5.571348960011588,-59.001331833954005,36.48982519625144,12663,2202,1.4202670151064467e-09,95
asap7_aes,base,1.0,380.00000520417046,ps,only,0,-6.6963379553594935,-88.52341117760403,36.48982519625144,12885,2421,1.440970565091959e-09,84
asap7_aes,pr,1.0,380.00000520417046,ps,only,0,-5.892092393107423,-64.19492740832746,36.48982519625144,12850,2388,1.4338846776595915e-09,91
asap7_aes,base,1.0,380.00000520417046,ps,stock,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,1.437660879233249e-09,60
asap7_aes,pr,1.0,380.00000520417046,ps,stock,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,1.437660879233249e-09,63
asap7_aes_multivt,base,0.8,304.00000416333637,ps,after,0,0.0007494005446164375,0.0,33.39036699376324,12657,2192,1.4456216224090213e-09,178
asap7_aes_multivt,pr,0.8,304.00000416333637,ps,after,0,0.0545952174540938,0.0,33.39105394426247,12668,2204,1.4468900522146555e-09,145
asap7_aes_multivt,base,0.8,304.00000416333637,ps,before,0,0.01776356846498222,0.0,33.39105394426247,12664,2198,1.4444260232338024e-09,184
asap7_aes_multivt,pr,0.8,304.00000416333637,ps,before,0,0.05473399533272647,0.0,33.39038781044503,12665,2200,1.4456653651961915e-09,153
asap7_aes_multivt,base,0.8,304.00000416333637,ps,only,0,0.0024147350882085207,0.0,33.39105394426247,12775,2305,1.44961653791853e-09,177
asap7_aes_multivt,pr,0.8,304.00000416333637,ps,only,0,0.006661338174368333,0.0,33.39105394426247,12753,2288,1.4495727951313597e-09,144
asap7_aes_multivt,base,0.8,304.00000416333637,ps,stock,0,0.02298161670157075,0.0,33.39105394426247,12697,2234,1.4559733418906262e-09,143
asap7_aes_multivt,pr,0.8,304.00000416333637,ps,stock,0,0.02298161670157075,0.0,33.39105394426247,12697,2234,1.4559733418906262e-09,139
asap7_aes_multivt,base,0.9,342.00000468375345,ps,after,0,0.007022160658813285,0.0,33.39114414988358,12153,1699,1.3809884347182333e-09,76
asap7_aes_multivt,pr,0.9,342.00000468375345,ps,after,0,0.0028310687241065416,0.0,33.39114414988358,12142,1689,1.3790201203178754e-09,77
asap7_aes_multivt,base,0.9,342.00000468375345,ps,before,0,0.008049116960695069,0.0,33.39114414988358,12149,1695,1.3783203467454541e-09,83
asap7_aes_multivt,pr,0.9,342.00000468375345,ps,before,0,0.007605027749070513,0.0,33.39114414988358,12142,1689,1.375185632035425e-09,78
asap7_aes_multivt,base,0.9,342.00000468375345,ps,only,0,0.008049116960695069,0.0,33.39114414988358,12223,1768,1.3828400646787031e-09,82
asap7_aes_multivt,pr,0.9,342.00000468375345,ps,only,0,-0.12090328786478524,-0.12090328786478524,33.39114414988358,12186,1733,1.3782182062271886e-09,78
asap7_aes_multivt,base,0.9,342.00000468375345,ps,stock,0,0.007494005446164374,0.0,33.39114414988358,12170,1716,1.385260350872386e-09,69
asap7_aes_multivt,pr,0.9,342.00000468375345,ps,stock,0,0.007494005446164374,0.0,33.39114414988358,12170,1716,1.385260350872386e-09,69
asap7_aes_multivt,base,1.0,380.00000520417046,ps,after,0,0.09323097886543012,0.0,33.38838247009879,12065,1613,1.3692514899688035e-09,27
asap7_aes_multivt,pr,1.0,380.00000520417046,ps,after,0,0.09323097886543012,0.0,33.38838247009879,12065,1613,1.3692514899688035e-09,27
asap7_aes_multivt,base,1.0,380.00000520417046,ps,before,0,0.09323097886543012,0.0,33.38838247009879,12065,1613,1.3691349165512179e-09,27
asap7_aes_multivt,pr,1.0,380.00000520417046,ps,before,0,0.09323097886543012,0.0,33.38838247009879,12065,1613,1.3691932032600107e-09,27
asap7_aes_multivt,base,1.0,380.00000520417046,ps,only,0,0.17061352399100893,0.0,33.38838247009879,12074,1622,1.3696743739188832e-09,28
asap7_aes_multivt,pr,1.0,380.00000520417046,ps,only,0,0.17119639108126616,0.0,33.38838247009879,12066,1614,1.368857915906574e-09,26
asap7_aes_multivt,base,1.0,380.00000520417046,ps,stock,0,0.09323097886543012,0.0,33.38838247009879,12065,1613,1.3692514899688035e-09,27
asap7_aes_multivt,pr,1.0,380.00000520417046,ps,stock,0,0.09323097886543012,0.0,33.38838247009879,12065,1613,1.3692514899688035e-09,28
