   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            | Endpts | Endpt
--------------------------------------------------------------------------------------------------------------
      587 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      590 |       0 |     117 |        0 |      0 |    38 |    +0.2% |  -26.614 |   -14195.2 |    560 | pp_row23_11$_DFF_P_/D
      591 |       0 |     117 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14197.2 |    560 | pp_row23_11$_DFF_P_/D
      595 |       0 |     117 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14197.2 |    560 | pp_row23_11$_DFF_P_/D
      598 |       0 |     117 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14197.2 |    560 | pp_row23_11$_DFF_P_/D
      600 |       0 |     118 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14204.7 |    560 | pp_row23_11$_DFF_P_/D
      602 |       0 |     118 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14204.7 |    560 | pp_row23_11$_DFF_P_/D
      610 |       0 |     123 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14169.8 |    560 | pp_row25_12$_DFF_P_/D
      611 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      615 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      619 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      620 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      623 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      627 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      630 |       0 |     125 |        0 |      0 |    40 |    +0.2% |  -26.659 |   -14173.9 |    560 | pp_row17_6$_DFF_P_/D
      631 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      635 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      639 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      640 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      643 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      647 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      650 |       0 |     125 |        0 |      0 |    40 |    +0.2% |  -26.742 |   -14175.2 |    560 | pp_row14_1$_DFF_P_/D
      650 |       0 |     124 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14168.3 |    560 | pp_row25_12$_DFF_P_/D
      654 |       0 |     125 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14175.9 |    560 | pp_row25_12$_DFF_P_/D
      658 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      660 |       0 |     126 |        0 |      0 |    40 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      663 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      667 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      670 |       0 |     127 |        0 |      0 |    40 |    +0.2% |  -26.659 |   -14189.0 |    560 | pp_row14_3$_DFF_P_/D
      671 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      675 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      679 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      680 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      683 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      687 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      690 |       0 |     127 |        0 |      0 |    40 |    +0.2% |  -26.659 |   -14189.0 |    560 | pp_row21_8$_DFF_P_/D
      691 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      695 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      699 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      700 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      702 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      706 |       0 |     126 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14183.4 |    560 | pp_row25_12$_DFF_P_/D
      710 |       0 |     127 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14189.4 |    560 | pp_row25_12$_DFF_P_/D
      710 |       0 |     127 |        0 |      0 |    39 |    +0.2% |  -26.614 |   -14191.0 |    560 | pp_row25_12$_DFF_P_/D
      719 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      720 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      723 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      727 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      730 |       0 |     134 |        0 |      0 |    42 |    +0.2% |  -26.659 |   -14160.1 |    560 | pp_row14_4$_DFF_P_/D
      731 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      735 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      739 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      740 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      743 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      747 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      750 |       0 |     134 |        0 |      0 |    42 |    +0.2% |  -26.659 |   -14160.1 |    560 | pp_row23_9$_DFF_P_/D
      751 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      755 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      758 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      760 |       0 |     134 |        0 |      0 |    41 |    +0.2% |  -26.735 |   -14162.2 |    560 | pp_row25_10$_DFF_P_/D
      762 |       0 |     133 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14154.6 |    560 | pp_row27_13$_DFF_P_/D
      766 |       0 |     134 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14162.2 |    560 | pp_row27_13$_DFF_P_/D
      770 |       0 |     135 |        0 |      0 |    43 |    +0.2% |  -26.614 |   -14168.1 |    560 | pp_row27_13$_DFF_P_/D
      770 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      775 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      779 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      780 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      783 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      787 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      790 |       0 |     136 |        0 |      0 |    42 |    +0.2% |  -26.659 |   -14175.2 |    560 | pp_row15_5$_DFF_P_/D
      791 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      795 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      799 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      800 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      803 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      807 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      810 |       0 |     136 |        0 |      0 |    42 |    +0.2% |  -26.813 |   -14175.4 |    560 | pp_row19_0$_DFF_P_/D
      811 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      814 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      818 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      820 |       0 |     136 |        0 |      0 |    41 |    +0.2% |  -26.735 |   -14177.3 |    560 | pp_row28_11$_DFF_P_/D
      822 |       0 |     135 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14169.7 |    560 | pp_row27_13$_DFF_P_/D
      826 |       0 |     136 |        0 |      0 |    41 |    +0.2% |  -26.614 |   -14177.2 |    560 | pp_row27_13$_DFF_P_/D
      830 |       0 |     137 |        0 |      0 |    43 |    +0.3% |  -26.843 |   -14183.3 |    560 | pp_row28_13$_DFF_P_/D
      835 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      839 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      840 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      843 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      847 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      850 |       0 |     143 |        0 |      0 |    44 |    +0.3% |  -26.659 |   -14146.4 |    560 | pp_row15_5$_DFF_P_/D
      851 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      855 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      859 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      860 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      863 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      867 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      870 |       0 |     143 |        0 |      0 |    44 |    +0.3% |  -26.813 |   -14146.6 |    560 | pp_row19_0$_DFF_P_/D
      871 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      874 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      878 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      880 |       0 |     143 |        0 |      0 |    43 |    +0.3% |  -26.735 |   -14148.4 |    560 | pp_row27_11$_DFF_P_/D
      882 |       0 |     142 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14140.9 |    560 | pp_row29_14$_DFF_P_/D
      886 |       0 |     143 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14148.4 |    560 | pp_row29_14$_DFF_P_/D
      890 |       0 |     144 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14154.4 |    560 | pp_row29_14$_DFF_P_/D
      890 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      895 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      899 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      900 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      903 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      907 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      910 |       0 |     145 |        0 |      0 |    44 |    +0.3% |  -26.659 |   -14161.5 |    560 | pp_row15_5$_DFF_P_/D
      911 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      915 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      919 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      920 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      923 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      927 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      930 |       0 |     145 |        0 |      0 |    44 |    +0.3% |  -26.813 |   -14161.7 |    560 | pp_row19_0$_DFF_P_/D
      931 |       0 |     144 |        0 |      0 |    43 |    +0.3% |  -26.614 |   -14156.0 |    560 | pp_row29_14$_DFF_P_/D
      937 |       0 |     147 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14155.4 |    560 | pp_row29_14$_DFF_P_/D
      940 |       0 |     148 |        0 |      0 |    46 |    +0.3% |  -26.659 |   -14160.9 |    560 | pp_row25_10$_DFF_P_/D
      941 |       0 |     147 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14155.4 |    560 | pp_row29_14$_DFF_P_/D
      945 |       0 |     147 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14155.4 |    560 | pp_row29_14$_DFF_P_/D
      949 |       0 |     147 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14155.4 |    560 | pp_row29_14$_DFF_P_/D
      950 |       0 |     147 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14155.4 |    560 | pp_row29_14$_DFF_P_/D
      953 |       0 |     148 |        0 |      0 |    45 |    +0.3% |  -26.614 |   -14162.9 |    560 | pp_row29_14$_DFF_P_/D
      960 |       0 |     152 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14128.9 |    560 | pp_row31_15$_DFF_P_/D
      962 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      966 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      970 |       0 |     155 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14132.4 |    560 | pp_row14_3$_DFF_P_/D
      970 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      974 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      978 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      980 |       0 |     155 |        0 |      0 |    47 |    +0.3% |  -26.735 |   -14134.1 |    560 | pp_row17_6$_DFF_P_/D
      982 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      986 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      990 |       0 |     155 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14132.4 |    560 | pp_row21_8$_DFF_P_/D
      990 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      994 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
      998 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1000 |       0 |     154 |        0 |      0 |    48 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1003 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1007 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1010 |       0 |     155 |        0 |      0 |    48 |    +0.3% |  -26.664 |   -14131.7 |    560 | pp_row14_1$_DFF_P_/D
     1011 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1015 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1019 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1020 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1023 |       0 |     154 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14126.6 |    560 | pp_row31_15$_DFF_P_/D
     1027 |       0 |     155 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14134.1 |    560 | pp_row31_15$_DFF_P_/D
     1030 |       0 |     156 |        0 |      0 |    48 |    +0.3% |  -26.614 |   -14139.7 |    560 | pp_row31_15$_DFF_P_/D
     1031 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1036 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1040 |       0 |     157 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14147.5 |    560 | pp_row14_2$_DFF_P_/D
     1040 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1044 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1048 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1050 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.735 |   -14149.2 |    560 | pp_row15_5$_DFF_P_/D
     1052 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1056 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1060 |       0 |     157 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14147.5 |    560 | pp_row19_7$_DFF_P_/D
     1060 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1064 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1068 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1070 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.889 |   -14149.1 |    560 | pp_row19_0$_DFF_P_/D
     1072 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1076 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1080 |       0 |     157 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14147.5 |    560 | pp_row25_10$_DFF_P_/D
     1080 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1084 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1088 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1090 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.735 |   -14149.2 |    560 | pp_row32_13$_DFF_P_/D
     1092 |       0 |     156 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14141.6 |    560 | pp_row31_15$_DFF_P_/D
     1096 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1100 |       0 |     158 |        0 |      0 |    49 |    +0.3% |  -26.843 |   -14155.2 |    560 | pp_row32_15$_DFF_P_/D
     1100 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1104 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1108 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1110 |       0 |     158 |        0 |      0 |    47 |    +0.3% |  -26.735 |   -14156.8 |    560 | pp_row14_4$_DFF_P_/D
     1112 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1116 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1120 |       0 |     158 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14155.1 |    560 | pp_row17_6$_DFF_P_/D
     1120 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1124 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1128 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1130 |       0 |     158 |        0 |      0 |    47 |    +0.3% |  -26.735 |   -14156.8 |    560 | pp_row23_9$_DFF_P_/D
     1132 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1136 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1140 |       0 |     158 |        0 |      0 |    49 |    +0.3% |  -26.659 |   -14155.1 |    560 | pp_row25_10$_DFF_P_/D
     1140 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1144 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1148 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1150 |       0 |     158 |        0 |      0 |    47 |    +0.3% |  -26.735 |   -14156.8 |    560 | pp_row31_13$_DFF_P_/D
     1152 |       0 |     157 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14149.2 |    560 | pp_row31_15$_DFF_P_/D
     1156 |       0 |     158 |        0 |      0 |    47 |    +0.3% |  -26.614 |   -14156.8 |    560 | pp_row31_15$_DFF_P_/D
     1160 |       0 |     159 |        0 |      0 |    49 |    +0.3% |  -26.843 |   -14162.8 |    560 | pp_row31_15$_DFF_P_/D
     1165 |       0 |     164 |        0 |      0 |    49 |    +0.3% |  -26.591 |   -14120.4 |    560 | pp_row19_0$_DFF_P_/D
     1169 |       0 |     164 |        0 |      0 |    49 |    +0.3% |  -26.591 |   -14120.4 |    560 | pp_row19_0$_DFF_P_/D
     1170 |       0 |     164 |        0 |      0 |    49 |    +0.3% |  -26.591 |   -14120.4 |    560 | pp_row19_0$_DFF_P_/D
     1173 |       0 |     164 |        0 |      0 |    49 |    +0.3% |  -26.591 |   -14120.4 |    560 | pp_row19_0$_DFF_P_/D
     1177 |       0 |     164 |        0 |      0 |    49 |    +0.3% |  -26.591 |   -14120.4 |    560 | pp_row19_0$_DFF_P_/D
     1180 |       0 |     165 |        0 |      0 |    50 |    +0.3% |  -26.659 |   -14125.9 |    560 | pp_row15_5$_DFF_P_/D
     1181 |       0 |     164 |        0 |      0 |    49 |    +0.3% |  -26.591 |   -14120.4 |    560 | pp_row19_0$_DFF_P_/D
