   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            | Endpts | Endpt
--------------------------------------------------------------------------------------------------------------
      142 |       0 |      48 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14176.3 |    560 | pp_row11_5$_DFF_P_/D
      146 |       0 |      49 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14183.8 |    560 | pp_row11_5$_DFF_P_/D
      150 |       0 |      50 |        0 |      0 |    27 |    +0.0% |  -26.614 |   -14189.8 |    560 | pp_row11_5$_DFF_P_/D
      150 |       0 |      50 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14191.4 |    560 | pp_row11_5$_DFF_P_/D
      159 |       0 |      56 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14155.0 |    560 | pp_row13_6$_DFF_P_/D
      160 |       0 |      56 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14155.0 |    560 | pp_row13_6$_DFF_P_/D
      163 |       0 |      57 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14161.2 |    560 | pp_row13_6$_DFF_P_/D
      166 |       0 |      58 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14167.5 |    560 | pp_row13_6$_DFF_P_/D
      170 |       0 |      59 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14173.4 |    560 | pp_row13_6$_DFF_P_/D
      170 |       0 |      59 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14175.0 |    560 | pp_row13_6$_DFF_P_/D
      174 |       0 |      60 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14182.5 |    560 | pp_row13_6$_DFF_P_/D
      178 |       0 |      61 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14190.1 |    560 | pp_row13_6$_DFF_P_/D
      180 |       0 |      62 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14197.6 |    560 | pp_row13_6$_DFF_P_/D
      182 |       0 |      62 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14197.6 |    560 | pp_row13_6$_DFF_P_/D
      187 |       0 |      62 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14197.6 |    560 | pp_row13_6$_DFF_P_/D
      190 |       0 |      63 |        0 |      0 |    28 |    +0.1% |  -26.614 |   -14202.3 |    560 | pp_row13_6$_DFF_P_/D
      191 |       0 |      63 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14204.0 |    560 | pp_row13_6$_DFF_P_/D
      194 |       0 |      64 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14210.3 |    560 | pp_row13_6$_DFF_P_/D
      198 |       0 |      65 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14217.8 |    560 | pp_row13_6$_DFF_P_/D
      200 |       0 |      66 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14225.4 |    560 | pp_row13_6$_DFF_P_/D
      202 |       0 |      66 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14225.4 |    560 | pp_row13_6$_DFF_P_/D
      206 |       0 |      67 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14232.9 |    560 | pp_row13_6$_DFF_P_/D
      210 |       0 |      68 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14238.9 |    560 | pp_row13_6$_DFF_P_/D
      210 |       0 |      68 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14240.5 |    560 | pp_row13_6$_DFF_P_/D
      219 |       0 |      74 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14204.1 |    560 | pp_row15_7$_DFF_P_/D
      220 |       0 |      74 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14204.1 |    560 | pp_row15_7$_DFF_P_/D
      223 |       0 |      75 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14210.5 |    560 | pp_row15_7$_DFF_P_/D
      226 |       0 |      75 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14210.5 |    560 | pp_row15_7$_DFF_P_/D
      230 |       0 |      76 |        0 |      0 |    31 |    +0.1% |  -26.659 |   -14216.4 |    560 | pp_row15_2$_DFF_P_/D
      230 |       0 |      75 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14210.5 |    560 | pp_row15_7$_DFF_P_/D
      234 |       0 |      75 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14210.5 |    560 | pp_row15_7$_DFF_P_/D
      238 |       0 |      75 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14210.5 |    560 | pp_row15_7$_DFF_P_/D
      240 |       0 |      76 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14218.1 |    560 | pp_row15_7$_DFF_P_/D
      242 |       0 |      76 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14218.1 |    560 | pp_row15_7$_DFF_P_/D
      246 |       0 |      77 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14225.6 |    560 | pp_row15_7$_DFF_P_/D
      250 |       0 |      78 |        0 |      0 |    31 |    +0.1% |  -26.919 |   -14229.9 |    560 | pp_row15_7$_DFF_P_/D
      251 |       0 |      77 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14225.6 |    560 | pp_row15_7$_DFF_P_/D
      255 |       0 |      78 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14232.1 |    560 | pp_row15_7$_DFF_P_/D
      258 |       0 |      78 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14232.1 |    560 | pp_row15_7$_DFF_P_/D
      260 |       0 |      79 |        0 |      0 |    29 |    +0.1% |  -26.735 |   -14239.7 |    560 | pp_row14_2$_DFF_P_/D
      262 |       0 |      78 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14232.1 |    560 | pp_row15_7$_DFF_P_/D
      266 |       0 |      78 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14232.1 |    560 | pp_row15_7$_DFF_P_/D
      270 |       0 |      79 |        0 |      0 |    31 |    +0.1% |  -26.659 |   -14238.0 |    560 | pp_row14_4$_DFF_P_/D
      270 |       0 |      78 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14232.1 |    560 | pp_row15_7$_DFF_P_/D
      274 |       0 |      78 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14232.1 |    560 | pp_row15_7$_DFF_P_/D
      278 |       0 |      79 |        0 |      0 |    29 |    +0.1% |  -26.614 |   -14239.7 |    560 | pp_row15_7$_DFF_P_/D
      280 |       0 |      80 |        0 |      0 |    29 |    +0.1% |  -26.919 |   -14247.2 |    560 | pp_row16_7$_DFF_P_/D
      287 |       0 |      85 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14203.3 |    560 | pp_row17_8$_DFF_P_/D
      290 |       0 |      86 |        0 |      0 |    32 |    +0.1% |  -26.614 |   -14208.2 |    560 | pp_row17_8$_DFF_P_/D
      291 |       0 |      86 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14209.9 |    560 | pp_row17_8$_DFF_P_/D
      294 |       0 |      86 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14209.9 |    560 | pp_row17_8$_DFF_P_/D
      298 |       0 |      86 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14209.9 |    560 | pp_row17_8$_DFF_P_/D
      300 |       0 |      87 |        0 |      0 |    31 |    +0.1% |  -26.735 |   -14217.5 |    560 | pp_row14_3$_DFF_P_/D
      302 |       0 |      86 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14209.9 |    560 | pp_row17_8$_DFF_P_/D
      306 |       0 |      86 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14209.9 |    560 | pp_row17_8$_DFF_P_/D
      310 |       0 |      87 |        0 |      0 |    33 |    +0.1% |  -26.659 |   -14215.8 |    560 | pp_row15_5$_DFF_P_/D
      310 |       0 |      86 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14209.9 |    560 | pp_row17_8$_DFF_P_/D
      314 |       0 |      87 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14217.4 |    560 | pp_row17_8$_DFF_P_/D
