design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
jpeg,grt,5_1_grt,nogasp-prof,2,post_grt_wns,2.19,,1,0,-104.063,-104.063,608,293.82,6ce0f87a6da941d5e488,0.81,2026-09-11T13:27:02
jpeg,grt,5_1_grt,nogasp-prof,3,setup_hold,182.56,0.31,2500,2370,-110.195,-102.732,619,293.5,6ce0f87a6da941d5e488,0.80,2026-09-11T13:34:56
jpeg,grt,5_1_grt,nogasp-prof,3,post_grt_wns,2.17,,1,0,-104.063,-104.063,608,293.5,6ce0f87a6da941d5e488,0.80,2026-09-11T13:34:56
jpeg,grt,5_1_grt,nopostwns-prof,1,setup_hold,219.78,0.32,2700,2370,-110.195,-102.732,619,328.54,6003ad129983befcd713,0.97,2026-09-11T15:39:23
jpeg,grt,5_1_grt,nopostwns-prof,2,setup_hold,216.29,0.32,2700,2370,-110.195,-102.732,619,324.92,0182b7abff8eea3d3492,0.85,2026-09-11T15:47:48
jpeg,grt,5_1_grt,nopostwns-prof,3,setup_hold,218.9,0.32,2700,2370,-110.195,-102.732,619,328.0,6003ad129983befcd713,0.95,2026-09-11T15:56:02
jpeg,grt,5_1_grt,nounbuf-prof,1,setup_hold,186.54,0.31,2500,2210,-110.195,-102.732,619,296.99,49c3185dba04f5853a15,0.78,2026-09-11T14:09:40
jpeg,grt,5_1_grt,nounbuf-prof,1,post_grt_wns,2.23,,1,0,-104.472,-104.472,610,296.99,49c3185dba04f5853a15,0.78,2026-09-11T14:09:40
jpeg,grt,5_1_grt,nounbuf-prof,2,setup_hold,187.34,0.32,2500,2210,-110.195,-102.732,619,297.56,49c3185dba04f5853a15,0.87,2026-09-11T14:17:38
jpeg,grt,5_1_grt,nounbuf-prof,2,post_grt_wns,2.2,,1,0,-104.472,-104.472,610,297.56,49c3185dba04f5853a15,0.87,2026-09-11T14:17:38
jpeg,grt,5_1_grt,nounbuf-prof,3,setup_hold,187.92,0.32,2500,2210,-110.195,-102.732,619,298.87,49c3185dba04f5853a15,0.98,2026-09-11T14:25:22
jpeg,grt,5_1_grt,nounbuf-prof,3,post_grt_wns,2.2,,1,0,-104.472,-104.472,610,298.87,49c3185dba04f5853a15,0.98,2026-09-11T14:25:22
jpeg,grt,5_1_grt,tns20-prof,1,setup_hold,217.1,0.32,2700,2370,-110.195,-102.732,619,328.44,bf18ad0bd58d52295185,0.89,2026-09-11T12:30:48
jpeg,grt,5_1_grt,tns20-prof,1,post_grt_wns,2.21,,1,0,-104.071,-104.071,607,328.44,bf18ad0bd58d52295185,0.89,2026-09-11T12:30:48
jpeg,grt,5_1_grt,tns20-prof,2,setup_hold,224.91,0.32,2700,2370,-110.195,-102.732,619,336.40999999999997,bf18ad0bd58d52295185,0.97,2026-09-11T12:39:25
jpeg,grt,5_1_grt,tns20-prof,2,post_grt_wns,2.18,,1,0,-104.071,-104.071,607,336.40999999999997,bf18ad0bd58d52295185,0.97,2026-09-11T12:39:25
jpeg,grt,5_1_grt,tns20-prof,3,setup_hold,222.44,0.32,2700,2370,-110.195,-102.732,619,367.86,bf18ad0bd58d52295185,0.85,2026-09-12T17:24:35
jpeg,grt,5_1_grt,tns20-prof,3,post_grt_wns,2.18,,1,0,-104.071,-104.071,607,367.86,bf18ad0bd58d52295185,0.85,2026-09-12T17:24:35
jpeg,grt,5_1_grt,tns5-prof,1,setup_hold,110.15,0.32,1200,950,-110.195,-102.732,619,219.9,6c362e259efa9eaff469,0.80,2026-09-11T12:58:21
jpeg,grt,5_1_grt,tns5-prof,1,post_grt_wns,2.19,,1,0,-103.967,-103.967,612,219.9,6c362e259efa9eaff469,0.80,2026-09-11T12:58:21
jpeg,grt,5_1_grt,tns5-prof,2,setup_hold,110.25,0.32,1200,950,-110.195,-102.732,619,220.6,6c362e259efa9eaff469,0.81,2026-09-11T13:05:03
jpeg,grt,5_1_grt,tns5-prof,2,post_grt_wns,2.18,,1,0,-103.967,-103.967,612,220.6,6c362e259efa9eaff469,0.81,2026-09-11T13:05:03
jpeg,grt,5_1_grt,tns5-prof,3,setup_hold,110.23,0.31,1200,950,-110.195,-102.732,619,219.69,6c362e259efa9eaff469,0.95,2026-09-11T13:11:28
jpeg,grt,5_1_grt,tns5-prof,3,post_grt_wns,2.17,,1,0,-103.967,-103.967,612,219.69,6c362e259efa9eaff469,0.95,2026-09-11T13:11:28
jpeg_lvt,cts,4_1_cts,base,1,setup_hold,1.62,0.31,0,,,,,31.86,e7adc973d7ce821e00c2,0.89,2026-09-10T22:02:42
jpeg_lvt,floorplan,2_1_floorplan,base,1,floorplan_setup,0.36,,0,,,,,12.41,e90ce24809fd3089783b,0.82,2026-09-10T22:02:09
